,awayG,awayOTL,awaySOL,awayW,homeG,homeOTL,homeSOL,homeW,homeP,awayP,desc
0,2,0,0,0,4,0,0,1,2,0,EqualTalentTeams
1,1,0,0,0,4,0,0,1,2,0,EqualTalentTeams
2,2,0,0,0,4,0,0,1,2,0,EqualTalentTeams
3,3,0,0,0,6,0,0,1,2,0,EqualTalentTeams
4,5,0,0,1,2,0,0,0,0,2,EqualTalentTeams
5,2,0,0,0,4,0,0,1,2,0,EqualTalentTeams
6,0,0,0,0,7,0,0,1,2,0,EqualTalentTeams
7,2,0,0,0,4,0,0,1,2,0,EqualTalentTeams
8,5,0,0,1,1,0,0,0,0,2,EqualTalentTeams
9,1,0,0,0,5,0,0,1,2,0,EqualTalentTeams
10,6,0,0,1,3,0,0,0,0,2,EqualTalentTeams
11,4,0,0,1,2,0,0,0,0,2,EqualTalentTeams
12,4,0,0,1,0,0,0,0,0,2,EqualTalentTeams
13,1,1,0,0,1,0,0,1,2,1,EqualTalentTeams
14,3,0,1,0,3,0,0,1,2,1,EqualTalentTeams
15,1,0,0,0,3,0,0,1,2,0,EqualTalentTeams
16,1,0,0,0,5,0,0,1,2,0,EqualTalentTeams
17,4,0,0,1,2,0,0,0,0,2,EqualTalentTeams
18,1,1,0,0,1,0,0,1,2,1,EqualTalentTeams
19,2,0,0,1,2,1,0,0,1,2,EqualTalentTeams
20,7,0,0,1,3,0,0,0,0,2,EqualTalentTeams
21,1,0,1,0,1,0,0,1,2,1,EqualTalentTeams
22,5,0,0,1,1,0,0,0,0,2,EqualTalentTeams
23,3,0,0,1,3,0,1,0,1,2,EqualTalentTeams
24,4,0,0,1,2,0,0,0,0,2,EqualTalentTeams
25,2,0,0,0,4,0,0,1,2,0,EqualTalentTeams
26,3,0,0,1,1,0,0,0,0,2,EqualTalentTeams
27,4,0,0,1,2,0,0,0,0,2,EqualTalentTeams
28,4,0,0,1,2,0,0,0,0,2,EqualTalentTeams
29,0,0,0,0,4,0,0,1,2,0,EqualTalentTeams
30,1,0,0,0,5,0,0,1,2,0,EqualTalentTeams
31,6,0,0,1,4,0,0,0,0,2,EqualTalentTeams
32,4,0,0,1,2,0,0,0,0,2,EqualTalentTeams
33,4,0,0,1,2,0,0,0,0,2,EqualTalentTeams
34,2,1,0,0,2,0,0,1,2,1,EqualTalentTeams
35,4,0,0,1,1,0,0,0,0,2,EqualTalentTeams
36,4,0,0,1,2,0,0,0,0,2,EqualTalentTeams
37,2,0,0,1,2,1,0,0,1,2,EqualTalentTeams
38,2,0,0,1,0,0,0,0,0,2,EqualTalentTeams
39,4,0,0,1,2,0,0,0,0,2,EqualTalentTeams
40,8,0,0,1,1,0,0,0,0,2,EqualTalentTeams
41,1,0,0,0,4,0,0,1,2,0,EqualTalentTeams
42,3,0,0,0,6,0,0,1,2,0,EqualTalentTeams
43,6,0,0,1,2,0,0,0,0,2,EqualTalentTeams
44,4,0,0,1,1,0,0,0,0,2,EqualTalentTeams
45,1,0,0,0,4,0,0,1,2,0,EqualTalentTeams
46,5,0,0,1,1,0,0,0,0,2,EqualTalentTeams
47,2,1,0,0,2,0,0,1,2,1,EqualTalentTeams
48,5,0,0,1,3,0,0,0,0,2,EqualTalentTeams
49,5,0,0,1,5,0,1,0,1,2,EqualTalentTeams
50,4,0,0,1,0,0,0,0,0,2,EqualTalentTeams
51,3,1,0,0,3,0,0,1,2,1,EqualTalentTeams
52,3,0,0,1,1,0,0,0,0,2,EqualTalentTeams
53,0,0,0,0,4,0,0,1,2,0,EqualTalentTeams
54,0,0,0,0,5,0,0,1,2,0,EqualTalentTeams
55,4,0,0,1,2,0,0,0,0,2,EqualTalentTeams
56,5,0,0,1,2,0,0,0,0,2,EqualTalentTeams
57,6,0,0,1,4,0,0,0,0,2,EqualTalentTeams
58,3,0,0,1,1,0,0,0,0,2,EqualTalentTeams
59,5,0,0,1,1,0,0,0,0,2,EqualTalentTeams
60,2,0,0,0,7,0,0,1,2,0,EqualTalentTeams
61,3,0,0,0,6,0,0,1,2,0,EqualTalentTeams
62,1,0,0,0,3,0,0,1,2,0,EqualTalentTeams
63,3,0,1,0,3,0,0,1,2,1,EqualTalentTeams
64,4,0,0,1,1,0,0,0,0,2,EqualTalentTeams
65,2,0,0,0,5,0,0,1,2,0,EqualTalentTeams
66,3,0,0,1,1,0,0,0,0,2,EqualTalentTeams
67,2,1,0,0,2,0,0,1,2,1,EqualTalentTeams
68,0,0,0,0,5,0,0,1,2,0,EqualTalentTeams
69,2,0,0,0,5,0,0,1,2,0,EqualTalentTeams
70,1,0,0,0,4,0,0,1,2,0,EqualTalentTeams
71,0,0,0,0,3,0,0,1,2,0,EqualTalentTeams
72,3,0,0,1,1,0,0,0,0,2,EqualTalentTeams
73,4,0,0,1,2,0,0,0,0,2,EqualTalentTeams
74,8,0,0,1,5,0,0,0,0,2,EqualTalentTeams
75,2,0,0,0,4,0,0,1,2,0,EqualTalentTeams
76,2,0,0,0,4,0,0,1,2,0,EqualTalentTeams
77,5,0,0,1,3,0,0,0,0,2,EqualTalentTeams
78,3,0,0,1,3,0,1,0,1,2,EqualTalentTeams
79,6,0,0,1,2,0,0,0,0,2,EqualTalentTeams
80,1,0,0,0,3,0,0,1,2,0,EqualTalentTeams
81,2,0,0,1,0,0,0,0,0,2,EqualTalentTeams
82,4,0,0,1,2,0,0,0,0,2,EqualTalentTeams
83,4,0,0,1,0,0,0,0,0,2,EqualTalentTeams
84,1,0,0,0,4,0,0,1,2,0,EqualTalentTeams
85,2,0,0,0,4,0,0,1,2,0,EqualTalentTeams
86,2,0,0,0,8,0,0,1,2,0,EqualTalentTeams
87,3,0,0,0,5,0,0,1,2,0,EqualTalentTeams
88,4,0,0,1,2,0,0,0,0,2,EqualTalentTeams
89,3,0,0,1,3,1,0,0,1,2,EqualTalentTeams
90,5,0,0,1,2,0,0,0,0,2,EqualTalentTeams
91,2,0,0,0,4,0,0,1,2,0,EqualTalentTeams
92,5,0,0,1,1,0,0,0,0,2,EqualTalentTeams
93,5,0,0,1,1,0,0,0,0,2,EqualTalentTeams
94,3,0,0,0,5,0,0,1,2,0,EqualTalentTeams
95,2,0,0,1,2,1,0,0,1,2,EqualTalentTeams
96,3,0,0,0,6,0,0,1,2,0,EqualTalentTeams
97,1,0,0,0,4,0,0,1,2,0,EqualTalentTeams
98,5,0,0,1,2,0,0,0,0,2,EqualTalentTeams
99,6,0,0,1,2,0,0,0,0,2,EqualTalentTeams
